"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"Rt[116]",0.630809344202754,0.0011014072443982,0.0624136886662028,0.511437538274527,0.589109557033283,0.629696925003066,0.671311766558748,0.757751362061217,3211.1740322684,1.00028756118526
"Rt[117]",0.659714153346201,0.00115088402387129,0.0652196220497431,0.53552242484218,0.61309572534628,0.660017917838367,0.703758929232614,0.788005857760142,3211.39282450255,0.999440814328496
"Rt[118]",0.69084618520317,0.00123596373622665,0.0714066675842658,0.55473506379338,0.64221233011306,0.689989772452725,0.737105626999599,0.839766914132119,3337.8443021218,0.999442404560814
"Rt[119]",0.693373719861011,0.00131468576173302,0.0743317239175854,0.554046724424016,0.642884301307458,0.692336473781335,0.739810063276919,0.850238882208844,3196.71921395895,0.999533678945863
"Rt[120]",0.661120731826283,0.00134160523546556,0.0746250862810711,0.519672543433999,0.609880832260967,0.659727845328659,0.709974853798797,0.814094375295779,3093.9992476466,0.999900676361131
"Rt[121]",0.593681111170394,0.00128169782932475,0.0726550849103618,0.45479303928927,0.543236904031933,0.593451597000074,0.642530827796345,0.735663924732524,3213.36997724599,1.00062591714918
"Rt[122]",0.495383452668088,0.00122941473315085,0.0701368494707038,0.363382616654851,0.447790206852841,0.493317057397738,0.540904491879687,0.639633530570449,3254.58546451874,0.999684287269492
"Rt[123]",0.387216557970517,0.00112840205400424,0.0639312585297978,0.267362712087366,0.343680799008517,0.385402793411336,0.430205378046904,0.519323731202566,3209.95372598955,1.00029207442139
"Rt[124]",0.272221498045693,0.00100498742110756,0.0567195773836921,0.167294424073187,0.23265167585448,0.270991200948868,0.308676852678103,0.394172821700601,3185.25877360057,0.999618108835117
"Rt[125]",0.166984527263776,0.000787786361543909,0.0445721638621328,0.0868991092692803,0.136090492803779,0.165188039092035,0.195961780559779,0.259367749996376,3201.18314222419,1.00078135869774
"Rt[126]",0.092011430834372,0.000594459325111088,0.0340815219347144,0.0317472476171985,0.067687889179067,0.0891856376343279,0.113769859666489,0.167433617176285,3286.95434839087,0.999738140795318
"Rt[127]",0.0495756806040186,0.000455606436485965,0.0251861957498888,0.0104126573314035,0.0312681321191869,0.0458865029351616,0.0644169751552411,0.10638948926724,3055.94439106324,1.00000790190981
"Rt[128]",0.0298871631478194,0.000324327819529143,0.0179415351881085,0.00421448909877238,0.0162649777600721,0.026917023591917,0.0403880991841838,0.0724136099087382,3060.20695481137,0.999787777492492
"Rt[129]",0.023128780540083,0.000267012277355757,0.0148927498441916,0.0033289921777951,0.0118760879222827,0.0203569096797738,0.0307915265479215,0.0589444977021082,3110.90914441921,1.00006459270183
"Rt[130]",0.0204160705501882,0.000237125454357733,0.0133455643380004,0.00269650316746628,0.0103000437353506,0.0179155709091491,0.027582805365833,0.0536126842977062,3167.50664434888,0.999991413822695
"Rt[131]",0.146555361184199,0.00136361411071259,0.0777698099247588,0.0278333427825307,0.0877445327407644,0.137450853706334,0.191805828623096,0.324442894308148,3252.66324109766,0.999681033844808
"Rt[132]",0.241158808910897,0.00224938904746071,0.126532354099187,0.0490715254770026,0.146598019250631,0.222733743754361,0.316468704044309,0.539222731791329,3164.27356980781,0.999666518841127
"Rt[133]",0.439542333314679,0.00424222590947466,0.231730092722058,0.0827968614234954,0.261352354161392,0.411054528260378,0.585503138608822,0.966506758602288,2983.85205788523,0.999729932756697
"Rt[134]",0.845570479952935,0.00762895797232227,0.440976550567154,0.178127374474184,0.511267746984829,0.789202451357482,1.11125779297613,1.85978328434909,3341.18518594621,0.999602531213015
"Rt[135]",1.7098988489057,0.0142111753861957,0.818487258580252,0.397729512523164,1.09340666941678,1.6295141664345,2.21926824762703,3.50068653252458,3317.14035393099,1.00072350344557
"Rt_adj[1]",3.78164062239042,0.0277716836101794,1.60987512397356,0.98489927920235,2.6074159794569,3.66821270237977,4.87144910608239,7.25786486839603,3360.31477497016,0.999555925382122
"Rt_adj[2]",3.83096657697958,0.0283188769914072,1.62622990515131,1.03043893243437,2.6506974303953,3.73771943815648,4.90276817049989,7.21099462106395,3297.70522377846,0.999625537222082
"Rt_adj[3]",3.83644221476724,0.0279459260959658,1.5979857272681,0.994540058218792,2.68874973676615,3.7219609241133,4.89508409522327,7.29384929881952,3269.70656725056,1.00005073199581
"Rt_adj[4]",3.81657937544503,0.0293240920906185,1.62079327265255,0.974269870589504,2.60402279437549,3.73092677026843,4.89638992977625,7.22145879997853,3054.96403211116,0.999807781245959
"Rt_adj[5]",3.84326250987537,0.0299916509673005,1.65728781990114,0.946991738717635,2.62894278571642,3.76322862046887,4.96393810407759,7.31273549536838,3053.48035731859,0.999647290332889
"Rt_adj[6]",3.84203815966966,0.0284912308271342,1.65393969860097,0.959952993504494,2.61727393020541,3.7346917780698,4.92393396746828,7.42839496080809,3369.89927674783,0.999670353850287
"Rt_adj[7]",3.79575014401358,0.0312609963457743,1.59571348843041,1.0125105991894,2.62976133375091,3.69536707808877,4.86136921001169,7.18367082203776,2605.57873336298,0.999860794077889
