"time","domestic_unobs","imported_unobs","domestic","imported","imported_backproj","domestic_backproj","imported_backproj_incl_unobs","domestic_backproj_incl_unobs"
58,1,0,18,1,2.41300759526479,36.4812598443577,2.35673190521233,38.5107907957154
59,1,0,19,2,2.38883410328038,34.4546041848014,2.27979852038044,37.6021134422057
60,2,0,24,1,2.10060783324272,30.6122293836806,2.00637913079623,34.7531727960126
61,0,0,34,0,1.83654607315175,27.988010696533,1.81015661843642,32.8359275683963
62,2,0,35,4,2.30545308507715,27.5418332884414,2.37089441513077,32.6709936905517
63,0,1,28,2,3.99643275853343,28.3620907010266,4.19091116449719,33.2053117764269
64,0,0,22,3,6.23652305115901,29.7708311099416,6.59724993208601,33.8169773662762
65,1,0,36,0,7.1827741300297,31.3853584342381,7.67028415778706,34.4174345689847
66,0,0,25,0,6.1819946848976,32.6378659305884,6.68358279351921,34.7800925429628
67,0,0,26,5,4.68399950238909,33.6863141384252,5.11469433001635,35.2644641997146
68,4,0,36,7,3.99464298455245,34.9703332050565,4.34897062448307,36.3445346962191
69,0,0,27,6,4.10901152260955,36.1329216446154,4.42902188670091,37.6176968352573
70,2,0,33,2,4.51216760219596,36.4491037476165,4.84749552253829,38.2791281427059
71,4,0,29,5,4.72779525313474,35.7539088165329,5.10349304005455,38.0640962106747
72,2,0,33,4,4.4763251104356,34.670856009948,4.8680350680019,37.4906443831903
73,2,1,39,3,4.14675537027015,33.6477139486954,4.49534108365879,36.8819831937917
74,1,0,30,5,4.76163744321958,32.4888175065243,5.00754973469465,35.8846443062918
75,4,0,38,9,6.9799994460853,31.0962748652952,7.09106596509251,34.2572991796805
76,4,0,28,2,10.7528579624202,30.1633606727263,10.7826072681517,32.6662930094462
77,0,0,41,3,15.8413251082277,31.3132307823945,16.0047730356794,32.8826910813422
78,6,0,28,7,20.9899877466268,37.0770261926643,21.6824528178671,37.7428243996796
79,0,1,40,5,23.4480836479931,49.9650814779585,25.0803427018586,50.3885340397465
80,0,0,34,6,21.7585947010219,69.5929060199673,24.4340668925748,71.8794746839411
81,4,1,28,13,17.7514086701245,91.4372597140632,21.1520502777105,99.9794240826829
82,2,0,32,16,14.2941520194709,110.42504461473,17.8885074290284,131.630241743134
83,0,0,44,24,12.5054031625996,126.34312224977,15.7223695928593,167.025045120295
84,11,1,59,11,11.8452139700162,144.920092426036,14.1577708825802,210.213457958456
85,1,0,82,18,11.4041973005372,171.171832361759,12.531409791688,261.696792257045
86,5,0,90,12,10.5417445474543,202.633807101241,10.6062208004641,311.187049625329
87,0,0,84,13,9.22330718821746,236.204467515312,8.63303841479535,348.201335576947
88,4,0,105,16,7.73419938393164,279.273982219507,6.92616426104846,378.25375751716
89,1,1,178,13,6.19652771823587,339.413202265062,5.47946484011622,413.032942135017
90,5,1,159,11,4.66509422949724,407.261680327805,4.18834034780629,451.771708371045
91,8,6,170,12,3.26959950277552,466.794050754394,3.05751643763853,488.361677706727
92,20,1,206,8,2.16610974641375,514.079120173526,2.1829784745678,524.583928212931
93,20,1,324,11,1.42375795276754,547.519218907598,1.62862117008625,560.107838143586
94,55,1,311,6,0.960498379551869,556.685122401664,1.31860134314797,585.144059739283
95,61,1,321,8,0.63586230616618,538.324595629013,1.08670292726144,596.127898381494
96,26,0,474,1,0.3945702932628,502.556776217041,0.857421104396643,600.090217824104
97,24,1,407,5,0.292000477211203,461.353572704023,0.740438835094592,602.793287706801
98,60,1,539,3,0.437565774648873,423.217175127454,0.919008448580604,603.192919997521
99,72,2,414,5,0.908801884689735,393.403993126526,1.41428750473945,596.039613824301
100,69,0,535,1,1.49344183514793,371.655486480927,1.86147498648806,573.982635192835
101,56,0,446,0,1.67843449618074,351.582446469357,1.77497983398655,530.488565734609
102,28,0,383,0,1.27594619547989,331.404577316207,1.18148758689886,472.541502407595
103,21,0,472,2,0.678221144270384,315.679509599603,0.558671708312032,417.963617646715
104,31,0,411,2,0.269774816252795,303.94332282246,0.199209485846697,376.289398383931
105,90,0,385,3,0.08516272791588,290.739094445354,0.0568768971235735,345.721976147199
106,40,0,336,0,0.0202977967260469,273.868961166344,0.0124331945113831,322.054860646551
107,147,2,371,2,0.00302324910439931,254.37701599686,0.00172518769360516,301.41977262704
108,171,0,356,0,0,231.633568330595,0,279.069150224148
109,71,0,283,2,0,206.297139178782,0,253.913512518244
110,69,2,324,0,0,183.208210638657,0,230.868862251502
111,111,0,293,0,0,166.095736306321,0,214.4991127072
112,83,0,280,0,0,154.118118306483,0,204.435633124618
113,115,0,226,0,0,144.311519903612,0,197.239436904181
114,124,0,225,0,0,133.983444001525,0,188.857489627482
115,123,0,216,0,0,121.835385079391,0,176.193127246902
116,59,0,157,0,0,110.101076716119,0,160.127595020591
117,89,0,219,0,0,102.357770477859,0,143.843939672975
118,120,0,155,0,0,98.2627527287962,0,127.572068007312
119,58,0,162,0,0,94.086335108545,0,109.486072572674
120,87,0,106,0,0,87.094886896517,0,89.7559732716466
121,76,0,148,0,0,76.7681613363898,0,70.4389394140799
122,50,0,115,0,0,63.5694560968962,0,53.1044759445298
123,22,0,105,0,0,49.0867245064188,0,38.5152651783672
124,40,0,120,0,0,34.9789292788238,0,26.5606383473088
125,105,0,94,0,0,22.0301472124798,0,16.5536391634053
126,63,0,69,0,0,11.5327513501189,0,8.69477859056668
127,55,0,79,0,0,4.80655272281472,0,3.66230155896742
128,37,0,72,0,0,1.56716012165165,0,1.2097803205002
129,48,0,61,0,0,0.395667631048005,0,0.309289959580813
130,43,0,39,0,0,0.0751920122854754,0,0.0593942139767343
131,33,0,30,0,0,0.00999049736891255,0,0.00795507461121412
132,24,0,19,0,0,0,0,0
133,10,0,18,0,0,0,0,0
134,17,0,8,0,0,0,0,0
135,15,0,5,0,0,0,0,0
136,16,0,0,0,0,0,0,0
